artist;song;year
Avril Lavigne;Complicated;2002
Vanessa Carlton;A Thousand Miles;2002
The Calling;Wherever You Will Go;2001
Shakira;Underneath Your Clothes;2001
No Doubt;Underneath It All;2001
Truth Hurts;Addictive;2002
Busta Rhymes;I Know What You Want (feat. Flipmode Squad);2002
Eminem;'Till I Collapse;2002
Diddy;I Need a Girl (Pt. 2) [feat. Loon, Ginuwine & Mario Winans];2004
Christina Milian;When You Look At Me - Radio Edit;2001
Madonna;Die Another Day;2003
Jennifer Lopez;I'm Gonna Be Alright (feat. Nas);2002
Angie Martinez;If I Could Go! (feat. Lil' Mo & Sacario);2019
Linkin Park;In the End;2000
Las Ketchup;The Ketchup Song (Aserejé) - Spanglish Version;2002
Aaliyah;Rock The Boat;2019
Holly Valance;Kiss Kiss;2002
Sugababes;Round Round;2002
Marilyn Manson;Tainted Love;2003
Brandy;What About Us?;2002
Chad Kroeger;Hero (feat. Josey Scott);2003
Britney Spears;Overprotected - Radio Edit;2001
Scooter;The Logical Song;2013
Missy Elliott;4 My People (feat. Eve);2001
Aaliyah;More Than A Woman;2002
Brandy;Full Moon;2002
Blue;One Love;2002
Busta Rhymes;Pass The Courvoisier Part II (feat. P. Diddy & Pharrell) - Remix;2001
Céline Dion;A New Day Has Come - Radio Remix;2001
Scooter;Nessaja;2013
Eve;Gangsta Lovin';2002
Disturbing Tha Peace;Move Bitch;2002
Khia;My Neck, My Back (Lick It);2015
Tweet;Oops (Oh My) [feat. Missy Elliott];2002
Kylie Minogue;Spinning Around;2000
Nelly;Hot In Herre;2002
Gareth Gates;Anyone of Us (Stupid Mistake);2003
Christina Aguilera;Dirrty (feat. Redman);2002
B2K;Uh Huh;2002
Sugababes;Freak Like Me;2002
Dirty Vegas;Days Go By;2002
Fat Joe;What's Luv? (feat. Ja-Rule & Ashanti);2001
Liberty X;Just A Little;2019
No Doubt;Hella Good;2001
LL Cool J;Luv U Better;2002
Red Hot Chili Peppers;Can't Stop;2002
Musiq Soulchild;Halfcrazy;2002
Sean Paul;Gimme the Light;2002
Faith Evans;I Love You;2001
Charli Baltimore;Down 4 U;2002
Kylie Minogue;Love at First Sight;2001
N.O.R.E.;Nothin';2002
Gareth Gates;Unchained Melody;2003
Diddy;I Need a Girl (Pt. 1) [feat. Usher & Loon];2005
Big Brovaz;Nu Flow;2001
No Doubt;Hey Baby;2001
Ashanti;Baby;2002
Sophie Ellis-Bextor;Murder On The Dancefloor;2002
Justin Timberlake;Like I Love You;2002
Mary J. Blige;Rainy Dayz;2001
A1;Caught in the Middle;2001
Eminem;Cleanin' Out My Closet;2002
Ashanti;Happy;2002
Delta Goodrem;Born to Try;2003
P!nk;Get the Party Started;2001
Alicia Keys;A Woman's Worth;2001
Daniel Bedingfield;Gotta Get Thru This - D'N'D Radio Edit;2002
Coldplay;Clocks;2002
Missy Elliott;Work It;2002
Ronan Keating;If Tomorrow Never Comes;2002
Big Tymers;Still Fly;2002
Creed;My Sacrifice;2001
Ja Rule;Always On Time;2001
Ashanti;Foolish;2002
Avril Lavigne;Sk8er Boi;2002
DJ Sammy;Heaven;2002
Britney Spears;I'm Not a Girl, Not Yet a Woman;2001
Cam’ron;Oh Boy;2002
Red Hot Chili Peppers;By the Way;2002
Elvis Presley;A Little Less Conversation - JXL Radio Edit Remix;2002
Atomic Kitten;The Tide Is High - Radio Mix;2002
*NSYNC;Girlfriend;2001
Robbie Williams;Somethin' Stupid;2001
Alanis Morissette;Hands Clean;2002
Usher;U Don't Have to Call;2001
Creed;One Last Breath - Radio Version;2015
The Goo Goo Dolls;Here Is Gone;2002
Puddle Of Mudd;She Hates Me;2001
Ludacris;Rollout (My Business);2001
Blazin' Squad;Crossroads - Radio Edit;2012
Default;Wasting My Time;2001
Michelle Branch;All You Wanted;2001
Daniel Bedingfield;If You're Not The One;2002
Enrique Iglesias;Escape;2001
Puddle Of Mudd;Blurry;2001
Coldplay;In My Place;2002
Outkast;The Whole World (feat. Killer Mike);2001
P!nk;Don't Let Me Get Me - Radio Edit;2001
50 Cent;In Da Club;2003
Sean Paul;Get Busy;2002
Eminem;"Lose Yourself - From ""8 Mile"" Soundtrack";2004
Beyoncé;Crazy In Love (feat. Jay-Z);2003
Counting Crows;Big Yellow Taxi;2003
Black Eyed Peas;Where Is The Love?;2003
Jennifer Lopez;Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix;2002
Black Eyed Peas;Shut Up;2003
t.A.T.u.;All The Things She Said;2020
Benny Benassi;Satisfaction (Isak Original Extended) - Benny Benassi Presents The Biz;2003
Busta Rhymes;I Know What You Want (feat. Flipmode Squad);2002
Panjabi MC;Mundian to Bach Ke;2003
Mis-Teeq;Scandalous - U.S. Radio Edit;2004
JAY-Z;03' Bonnie & Clyde;2002
50 Cent;P.I.M.P.;2003
Jamelia;Superstar;2003
Linkin Park;Faint;2003
DMX;X Gon' Give It To Ya;2007
Evanescence;Bring Me To Life;2003
Sugababes;Hole In The Head;2003
Craig David;Rise & Fall (feat. Sting);2002
Three Days Grace;I Hate Everything About You;2003
Lil Jon & The East Side Boyz;Get Low;2002
B2K;Bump, Bump, Bump (feat. P. Diddy);2003
Baby Bash;Suga Suga;2003
Aaliyah;Miss You - Main;2002
Britney Spears;Me Against the Music (feat. Madonna) - LP Version / Video Mix;2003
Blue;Sorry Seems To Be The Hardest Word;2004
Delta Goodrem;Lost Without You;2003
Justin Timberlake;Rock Your Body;2002
The White Stripes;Seven Nation Army;2003
Youngbloodz;Damn! (feat. Lil' Jon) - Club Mix;2003
Beyoncé;Baby Boy (feat. Sean Paul);2003
Lil' Kim;Magic Stick;2019
Christina Aguilera;Can't Hold Us Down (feat. Lil' Kim);2002
Nickelback;Someday;2003
Blue;U Make Me Wanna - Radio Edit;2003
Ashanti;Rain On Me;2003
Trapt;Headstrong;2002
Simply Red;Sunrise;2008
Lumidee;Never Leave You (Uh Oooh, Uh Oooh);2003
Girls Aloud;Sound Of The Underground;2003
Nelly;Shake Ya Tailfeather (feat. P. Diddy & Murphy Lee) - 2016 Remaster;2016
Room 5;Make Luv;2003
Fatman Scoop;Be Faithful;2009
Limp Bizkit;Behind Blue Eyes;2003
Sugababes;Too Lost In You;2003
50 Cent;"Wanksta - From ""8 Mile"" Soundtrack";2003
Pharrell Williams;Frontin' (feat. Jay-Z) - Club Mix;2003
Chingy;Right Thurr;2003
Eminem;Sing For The Moment;2002
Lil' Kim;The Jump Off (feat. Mr. Cheeks) - Remix;2003
Mýa;My Love Is Like...Wo - Main Mix;2003
50 Cent;21 Questions;2003
Nelly;Air Force Ones;2002
Missy Elliott;Gossip Folks (feat. Ludacris);2002
Girls Aloud;Jump;2003
Ultrabeat;Pretty Green Eyes - Radio Edit;2003
Christina Aguilera;Fighter;2002
Frankie J;Don't Wanna Try;2003
Snoop Dogg;Beautiful;2005
Floetry;Say Yes;2002
Ginuwine;In Those Jeans;2003
Electric Six;Danger! High Voltage - Soulchild Radio Mix;2003
Rachel Stevens;Sweet Dreams My LA Ex - Radio Edit;2003
Ludacris;Stand Up;2003
Nas;I Can;2002
3 Doors Down;When I'm Gone;2002
Tyrese;How You Gonna Act Like That;2002
Justin Timberlake;Cry Me a River;2002
Westlife;Mandy;2003
No Doubt;It's My Life;2003
Amanda Perez;Angel;2003
JAY-Z;Excuse Me Miss;2002
Coldplay;Clocks;2002
Kelly Rowland;Stole;2002
Missy Elliott;Work It;2002
Ashanti;Rock Wit U (Awww Baby);2003
Junior Senior;Move Your Feet;2002
Audioslave;Like a Stone;2002
Sean Paul;Like Glue;2002
Jaheim;Put That Woman First;2002
Jennifer Lopez;All I Have (feat. LL Cool J);2002
Monica;So Gone;2003
Dido;White Flag;2003
The Roots;The Seed (2.0);2002
Chingy;Holidae In;2003
Fabolous;Can't Let You Go (feat. Mike Shorey & Lil' Mo);2003
Kelly Clarkson;Miss Independent;2003
Ja Rule;Mesmerize;2002
Matchbox Twenty;Unwell;2002
Outkast;The Way You Move (feat. Sleepy Brown);2003
Fabolous;Into You (feat. Tamia);2003
Switchfoot;Meant to Live;2003
Daniel Bedingfield;If You're Not The One;2002
Good Charlotte;Lifestyles of the Rich & Famous;2002
Wayne Wonder;No Letting Go;2003
The Strokes;Reptilia;2003
Avril Lavigne;I'm with You;2002
Will Young;Leave Right Now;2003
Usher;Yeah! (feat. Lil Jon & Ludacris);2004
Maroon 5;This Love;2002
Britney Spears;Toxic;2003
Outkast;Hey Ya!;2003
Hoobastank;The Reason;2003
Anastacia;Left Outside Alone;2004
Daddy Yankee;Gasolina;2004
Black Eyed Peas;Let's Get It Started - Spike Mix;2004
O-Zone;Dragostea Din Tei;2004
Terror Squad;Lean Back;2004
Anastacia;Sick and Tired;1999
Gwen Stefani;What You Waiting For?;2004
Ashanti;Only U - No Intro;2004
The Rasmus;In the Shadows;2003
Houston;I Like That;2004
Beyoncé;Naughty Girl;2003
Linkin Park;Numb;2003
Lloyd Banks;On Fire;2004
Akon;Locked Up;2004
D12;My Band;2004
Jay Sean;Eyes On You - Radio Mix;2004
Mario Winans;I Don't Wanna Know (feat. Enya & P. Diddy) - 2016 Remaster;2016
Destiny's Child;Lose My Breath;2004
Eric Prydz;Call on Me - Radio Mix;2004
Ciara;Goodies (feat. Petey Pablo);2004
Kelis;Trick Me;2003
LL Cool J;Headsprung;2004
Spiderbait;Black Betty - Edit;2004
George Michael;Amazing;2004
Britney Spears;My Prerogative;2004
Nina Sky;Move Ya Body;2004
Baby Bash;Suga Suga;2003
Petey Pablo;Freek-A-Leek;2003
JAY-Z;Dirt Off Your Shoulder;2003
Juanes;La Camisa Negra;2004
Avril Lavigne;Nobody's Home;2004
Robbie Williams;Radio;2004
Black Eyed Peas;Hey Mama;2003
Ying Yang Twins;Salt Shaker;2003
Enrique Iglesias;Not In Love - Radio Mix;2003
Kelis;Milkshake;2003
Linkin Park;Breaking the Habit;2003
JoJo;Leave (Get Out) - Radio Edit;2005
Christina Milian;Dip It Low;2004
Avant;Read Your Mind;2003
Eminem;Just Lose It;2004
Sugababes;Too Lost In You;2003
Snoop Dogg;Drop It Like It's Hot;2004
Sean Paul;I'm Still in Love with You (feat. Sasha);2002
The Shapeshifters;Lola's Theme - Radio Edit;2004
D12;How Come;2004
Basement Jaxx;Good Luck;2003
Kevin Lyttle;Turn Me On;2004
Chingy;One Call Away;2003
T.I.;Bring Em Out;2004
DJ Casper;Cha Cha Slide - Hardino Mix;2004
Kylie Minogue;I Believe in You;2004
Twista;Overnight Celebrity;2004
N.E.R.D;She Wants To Move;2004
Britney Spears;Everytime;2003
U2;Vertigo;2004
Franz Ferdinand;Take Me Out;2004
J-Kwon;Tipsy - Club Mix;2001
G-Unit;Wanna Get To Know You;2003
Lil' Flip;Sunshine (feat. Lea);2004
Kanye West;Jesus Walks;2004
Evanescence;My Immortal;2003
Nelly;My Place;2004
Lemar;If There's Any Justice;2004
No Doubt;It's My Life;2003
Avril Lavigne;Don't Tell Me;2004
Twista;Slow Jamz;2004
Green Day;American Idiot;2004
Kelis;Millionaire;2003
Scissor Sisters;Comfortably Numb;2004
Alicia Keys;Diary (feat. Tony! Toni! Tone! & Jermaine Paul);2003
Kanye West;Through The Wire;2004
Special D.;Come With Me - Radio Edit;2004
Ludacris;Splash Waterfalls;2003
Avril Lavigne;My Happy Ending;2004
Dido;White Flag;2003
Eamon;Fuck It (I Don't Want You Back);2004
Beyoncé;Me, Myself and I;2003
3 Doors Down;Here Without You;2002
Kanye West;All Falls Down;2004
Twista;Sunshine (feat. Anthony Hamilton);2004
Katie Melua;The Closest Thing to Crazy;2003
Usher;My Boo;2004
Lloyd;Southside;2004
LMC;Take Me To The Clouds Above - LMC Vs. U2 / Radio Edit;2004
The Streets;Fit but You Know It;2004
JUVENILE;Slow Motion;2003
Outkast;The Way You Move (feat. Sleepy Brown);2003
Girls Aloud;Love Machine;2004
Jessica Simpson;With You;2003
Eminem;Like Toy Soldiers;2004
Gary Jules;Mad World (Feat. Michael Andrews);2001
Ashlee Simpson;Pieces Of Me;2004
Will Young;Leave Right Now;2003
Alicia Keys;You Don't Know My Name;2003
Mariah Carey;We Belong Together;2005
Mario;Let Me Love You;2004
Kanye West;Gold Digger;2005
Rihanna;Pon de Replay;2005
50 Cent;Candy Shop;2005
James Blunt;You're Beautiful;2005
Green Day;Boulevard of Broken Dreams;2004
The Pussycat Dolls;Don't Cha;2005
Daniel Powter;Bad Day;2005
Akon;Bananza (Belly Dancer);2004
Madonna;Hung Up;2005
50 Cent;Just A Lil Bit;2005
Crazy Frog;Axel F;2005
Eminem;Ass Like That;2004
Sean Paul;We Be Burnin';2005
Gwen Stefani;Rich Girl;2004
The Chemical Brothers;Galvanize;2005
Fort Minor;Remember the Name (feat. Styles of Beyond);2005
50 Cent;Disco Inferno;2005
The Game;How We Do;2005
Chris Brown;Run It! (feat. Juelz Santana);2005
Mariah Carey;It's Like That;2005
Black Eyed Peas;My Humps;2005
Ciara;Oh (feat. Ludacris);2004
50 Cent;Outta Control - Remix;2005
Baby Bash;Baby, I'm Back;2005
Jennifer Lopez;Get Right;2005
JAY-Z;Numb / Encore;2004
The Game;Hate It Or Love It;2005
Gorillaz;Feel Good Inc.;2005
Black Eyed Peas;Don't Phunk With My Heart;2005
Akon;Lonely;2004
Bodyrockers;I Like The Way - Radio Edit;2005
Sugababes;Push The Button;2005
Jeezy;Soul Survivor;2005
Eminem;Mockingbird;2004
Shakira;La Tortura (feat. Alejandro Sanz);2005
Gorillaz;DARE;2005
Snoop Dogg;Signs;2004
Robbie Williams;Tripping;2005
David Banner;Play;2005
Trillville;Some Cut;2004
D4L;Laffy Taffy;2005
Missy Elliott;Lose Control (feat. Ciara & Fat Man Scoop);2005
Rob Thomas;Lonely No More;2005
Brian McFadden;Almost Here;2004
Bobby V.;"Slow Down - 12"" Version";2005
Backstreet Boys;Incomplete;2005
Pretty Ricky;Grind With Me;2005
Kanye West;Diamonds From Sierra Leone - Remix;2005
Snoop Dogg;Drop It Like It's Hot;2004
Fat Joe;Get It Poppin' (feat. Nelly) - Radio Version;2005
Destiny's Child;Soldier (feat. T.I. & Lil' Wayne);2004
Ciara;1, 2 Step (feat. Missy Elliott) - Main;2005
Amerie;1 Thing;2008
Ludacris;Get Back;2004
Franz Ferdinand;Do You Want To;2005
Natalie Imbruglia;Shiver;2005
Gwen Stefani;Hollaback Girl;2004
Pretty Ricky;Your Body;2005
Thirty Seconds To Mars;The Kill;2005
Alicia Keys;Karma;2003
2Pac;Ghetto Gospel;2004
Craig David;Don't Love You No More (I'm Sorry);2005
Katie Melua;Nine Million Bicycles;2005
Lil Jon & The East Side Boyz;Lovers And Friends;2004
Mariah Carey;Don't Forget About Us - Radio Edit;2005
Ying Yang Twins;Wait (The Whisper Song);2005
Will Smith;Switch;2020
Bow Wow;Like You (feat. Ciara);2005
Kaiser Chiefs;Everyday I Love You Less And Less;2005
Kelly Clarkson;Behind These Hazel Eyes;2004
Black Eyed Peas;Don't Lie;2005
Westlife;You Raise Me Up;2005
Ray J;One Wish;2005
Papa Roach;Scars;2004
Arctic Monkeys;I Bet You Look Good On The Dancefloor;2006
Shayne Ward;That's My Goal;2006
Bow Wow;Let Me Hold You (feat. Omarion);2005
Kaiser Chiefs;I Predict A Riot;2005
Usher;Caught Up;2004
Kelly Clarkson;Because of You;2004
3 Doors Down;Let Me Go;2012
Nickelback;Photograph;2005
T-Pain;I'm Sprung;2005
Destiny's Child;Cater 2 U;2004
The Pussycat Dolls;Stickwitu;2005
Ryan Cabrera;TRUE;2004
Stereophonics;Dakota;2005
Eminem;Like Toy Soldiers;2004
Nelly;Over And Over;2004
Coldplay;Speed of Sound;2005
KT Tunstall;Suddenly I See;2005
Destiny's Child;Girl;2004
Kelly Clarkson;Since U Been Gone;2004
U2;Sometimes You Can't Make It On Your Own;2004
The All-American Rejects;Dirty Little Secret;2005
Toby Keith;As Good As I Once Was;2005
Gwen Stefani;Cool;2004
Foo Fighters;Best of You;2005
Shakira;Hips Don't Lie (feat. Wyclef Jean);2005
Sean Paul;Temperature;2005
Justin Timberlake;SexyBack (feat. Timbaland);2006
Beyoncé;Irreplaceable;2007
Amy Winehouse;Rehab;2006
Rihanna;SOS;2006
Gnarls Barkley;Crazy;2006
Busta Rhymes;Touch It;2006
Nelly Furtado;Maneater;2006
Bob Sinclar;Rock This Party - Everybody Dance Now;2006
Diddy;Come to Me (feat. Nicole Scherzinger);2006
Madonna;Sorry;2005
Chamillionaire;Ridin';2005
Black Eyed Peas;Pump It;2005
Nelly Furtado;Promiscuous;2006
Fedde Le Grand;Put Your Hands Up for Detroit - Radio Edit;2015
Sean Paul;(When You Gonna) Give It Up to Me (feat. Keyshia Cole) - Radio Version;2006
The Pussycat Dolls;Buttons;2005
Ciara;Get Up (feat. Chamillionaire);2006
Eminem;Shake That;2005
Cherish;Do It To It;2006
Muse;Supermassive Black Hole;2006
Chris Brown;Gimme That;2005
Infernal;From Paris to Berlin;2004
Cassie;Me & U;2006
E-40;U and Dat (feat. T. Pain & Kandi Girl);2006
The Pussycat Dolls;Beep;2005
Lil Jon;Snap Yo Fingers;2006
Armand Van Helden;My My My - Radio Edit;2006
The Notorious B.I.G.;Nasty Girl (feat. Diddy, Nelly, Jagged Edge & Avery Storm) - 2005 Remaster;2005
Yung Joc;It's Goin' Down (feat. Nitti);2006
Shayne Ward;No Promises;2006
Justin Timberlake;My Love (feat. T.I.);2006
Nickelback;Savin' Me;2005
Nelly;Grillz;2005
Take That;Patience;2006
Fergie;London Bridge;2006
Cascada;Everytime We Touch - Radio Edit;2011
D4L;Laffy Taffy;2005
LL Cool J;Control Myself;2006
Beyoncé;Deja Vu (feat. Jay-Z);2007
P!nk;Stupid Girls;2006
Eminem;When I'm Gone;2005
Kelis;Bossy;2006
Bob Sinclar;Love Generation - Radio Edit;2005
Meck;Thunder in My Heart Again (Radio Edit);2005
Mary J. Blige;Be Without You - Kendu Mix;2005
Girls Aloud;Something Kinda Ooooh;2012
Rihanna;Unfaithful;2006
Kanye West;Touch The Sky;2005
Dem Franchize Boyz;Lean Wit It, Rock Wit It;2006
Evanescence;Call Me When You're Sober;2006
Chingy;Pullin' Me Back;2006
Nickelback;Far Away;2005
Fall Out Boy;Dance, Dance;2005
Leona Lewis;A Moment Like This;2007
T.I.;What You Know;2006
Ludacris;Money Maker;2006
Nick Lachey;What's Left Of Me;2006
Jibbs;Chain Hang Low;2006
Arctic Monkeys;When The Sun Goes Down;2006
Rascal Flatts;Life is a Highway;2006
Beyoncé;Check On It (feat. Slim Thug);2006
Keyshia Cole;Love;2005
Lily Allen;Smile;2006
Ne-Yo;Sexy Love;2006
JoJo;Too Little Too Late;2006
Mary J. Blige;One;2005
Bubba Sparxxx;Ms. New Booty;2005
Amy Winehouse;You Know I'm No Good;2006
Rascal Flatts;What Hurts The Most;2006
Red Hot Chili Peppers;Dani California;2006
Scissor Sisters;I Don't Feel Like Dancin';2006
Ne-Yo;So Sick;2006
Hinder;Lips Of An Angel;2019
The Raconteurs;Steady, As She Goes;2006
The Fratellis;Chelsea Dagger;2006
Fort Minor;Where'd You Go (feat. Holly Brook & Jonah Matranga);2005
The Pussycat Dolls;Stickwitu;2005
Panic! At The Disco;I Write Sins Not Tragedies;2005
James Blunt;Goodbye My Lover;2005
Christina Aguilera;Ain't No Other Man;2006
Westlife;The Rose;2006
Keane;Is It Any Wonder?;2006
Orson;No Tomorrow;2006
T-Pain;I'm N Luv (Wit a Stripper) (feat. Mike Jones);2005
KT Tunstall;Black Horse And The Cherry Tree;2005
Natasha Bedingfield;Unwritten;2004
Razorlight;America;2006
James Morrison;You Give Me Something;2006
Snow Patrol;You're All I Have;2006
The Fray;How to Save a Life;2005
Sandi Thom;I Wish I Was a Punk Rocker (with Flowers in My Hair);2006
My Chemical Romance;Welcome to the Black Parade;2006
Razorlight;In The Morning;2006
