artist;song;popularity
Gorgon City;Ready For Your Love;61
Taylor Swift;Style;61
MKTO;Classic;82
Disclosure;Latch;74
Ariana Grande;Problem;73
Charli XCX;Boom Clap;49
One Direction;Steal My Girl;79
Tiësto;Red Lights;0
Selena Gomez;The Heart Wants What It Wants;58
Rita Ora;I Will Never Let You Down;65
5 Seconds of Summer;She Looks So Perfect;74
The Script;Superheroes;74
Taylor Swift;Shake It Off;79
One Direction;Night Changes;83
Ed Sheeran;Sing;69
Alesso;Heroes (we could be);52
Tiësto;Wasted;0
G.R.L.;Ugly Heart;64
Coldplay;A Sky Full of Stars;80
Clean Bandit;Rather Be (feat. Jess Glynne);72
Zedd;Stay The Night - Featuring Hayley Williams Of Paramore;63
Sia;Elastic Heart;70
One Direction;Story of My Life;81
Alex & Sierra;Little Do You Know;75
Omarion;Post to Be (feat. Chris Brown & Jhene Aiko);55
Echosmith;Cool Kids;71
Natalie La Rose;Somebody;66
Vance Joy;Riptide;80
Beyoncé;Drunk in Love (feat. Jay-Z);70
Maroon 5;Sugar;0
Ella Henderson;Ghost;63
Ed Sheeran;"I See Fire - From ""The Hobbit - The Desolation Of Smaug""";71
Chris Brown;New Flame (feat. Usher & Rick Ross);67
Sheppard;Geronimo;0
Olly Murs;Wrapped Up (feat. Travie McCoy);0
Sam Smith;Money On My Mind;62
Jason Derulo;Trumpets;53
Nicki Minaj;Bed Of Lies;53
Nick Jonas;Jealous - Remix;0
Mark Ronson;Uptown Funk (feat. Bruno Mars);82
Ed Sheeran;Thinking out Loud;81
Wiz Khalifa;See You Again (feat. Charlie Puth);81
Justin Bieber;What Do You Mean?;77
Major Lazer;Lean On (feat. MØ & DJ Snake);73
The Weeknd;"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack";76
Ellie Goulding;"Love Me Like You Do - From ""Fifty Shades Of Grey""";78
Calvin Harris;Outside (feat. Ellie Goulding);78
David Guetta;Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack);75
Demi Lovato;Cool for the Summer;0
Taylor Swift;Blank Space;82
The Weeknd;The Hills;84
The Neighbourhood;Daddy Issues;85
Deorro;Five More Hours;66
Avicii;The Nights;85
DJ Snake;You Know You Like It;69
Adam Lambert;Ghost Town;46
Rae Sremmurd;No Type;71
Taylor Swift;Bad Blood;70
Flo Rida;GDFR (feat. Sage the Gemini & Lookas);49
Robin Schulz;Sugar (feat. Francesco Yates);76
Calvin Harris;How Deep Is Your Love;76
Philip George;Wish You Were Mine - Radio Edit;65
Trey Songz;Na Na;62
Fall Out Boy;Centuries;80
Rob $tone;Chill Bill (feat. J. Davi$ & Spooks);76
Lost Frequencies;Are You With Me - Radio Edit;33
Twenty One Pilots;Stressed Out;83
Fifth Harmony;Worth It (feat. Kid Ink);73
KALEO;Way down We Go;63
Sam Smith;Like I Can;79
Major Lazer;Light It Up (feat. Nyla & Fuse ODG) - Remix;49
Martin Solveig;Intoxicated - New Radio Mix;48
Avicii;Waiting For Love;79
Felix Jaehn;Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson);72
Taylor Swift;Wildest Dreams;78
The Weeknd;In The Night;0
Pitbull;Time of Our Lives;80
Galantis;Runaway (U & I);74
Rihanna;Bitch Better Have My Money;73
Zara Larsson;Lush Life;0
One Direction;Drag Me Down;79
Travis Scott;Antidote;73
Years & Years;King;0
Demi Lovato;Confident;64
Lemaitre;Closer;59
Selena Gomez;Same Old Love;69
Pia Mia;Do It Again;72
Flo Rida;My House;76
Silentó;Watch Me (Whip / Nae Nae);0
Chris Brown;Ayo;71
The Strumbellas;Spirits;71
Fetty Wap;Trap Queen;68
Tove Lo;Talking Body;66
Beyoncé;7-Nov;69
Lana Del Rey;High By The Beach;67
Zara Larsson;Never Forget You;73
Jeremih;oui;77
Drake;Hotline Bling;77
Selena Gomez;Kill Em With Kindness;64
Birdy;Let It All Go;68
Fetty Wap;679 (feat. Remy Boyz);74
Ariana Grande;Love Me Harder;74
The Weeknd;Can't Feel My Face;79
SAYGRACE;You Don't Own Me (feat. G-Eazy);55
X Ambassadors;Renegades;75
R. City;Locked Away (feat. Adam Levine);77
Kygo;Stole the Show;74
Tame Impala;The Less I Know The Better;83
Selena Gomez;Good For You;0
Fetty Wap;My Way (feat. Monty);55
Hozier;Take Me To Church;81
Taylor Swift;Style;77
Alessia Cara;Here;0
Sam Smith;"Writing's On The Wall - From ""Spectre"" Soundtrack";66
David Guetta;Bang My Head (feat. Sia & Fetty Wap);47
Meek Mill;All Eyes on You (feat. Chris Brown & Nicki Minaj);68
Big Sean;I Don't Fuck With You;75
Kygo;Firestone;76
Drake;Jumpman;0
Petit Biscuit;Sunset Lover;71
Shawn Mendes;Stitches;78
Flo Rida;I Don't Like It, I Love It (feat. Robin Thicke & Verdine White);67
Selena Gomez;The Heart Wants What It Wants;64
Jack Ü;Where Are Ü Now (with Justin Bieber);74
Ellie Goulding;On My Mind;0
Bryson Tiller;Don't;78
Rich Homie Quan;Flex (Ooh, Ooh, Ooh);1
Joel Adams;Please Don't Go;71
Zedd;I Want You To Know;0
Jonas Blue;Fast Car;67
BØRNS;Electric Love;0
Sigala;Easy Love;66
Justin Bieber;Sorry;80
Ariana Grande;One Last Time;79
Little Mix;Black Magic;1
One Direction;Perfect;77
Years & Years;Shine;55
Meghan Trainor;Lips Are Movin;70
Nicky Jam;El Perdón - Forgiveness;51
The Weeknd;Starboy;0
Drake;One Dance;84
Justin Bieber;Love Yourself;0
The Chainsmokers;Closer;83
Adele;Hello;1
Desiigner;Panda;70
Burak Yeter;Tuesday (feat. Danelle Sandoval);72
Sia;Cheap Thrills (feat. Sean Paul);67
OneRepublic;Wherever I Go;70
Rihanna;Work;75
Coldplay;Hymn for the Weekend;82
Justin Bieber;Sorry;80
Justin Timberlake;"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")";76
WILLOW;Wait a Minute!;86
Desiigner;Tiimmy Turner;67
G-Eazy;Me, Myself & I;77
David Guetta;This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016);68
Astrid S;Hurts So Good;0
Lil Wayne;Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors);75
Twenty One Pilots;Heathens;80
Future;Low Life (feat. The Weeknd);74
Galantis;No Money;67
The Chainsmokers;Don't Let Me Down;79
Tinie Tempah;Girls Like (feat. Zara Larsson);62
Alok;Hear Me Now;51
Jon Bellion;All Time Low;70
Cheat Codes;Sex;0
Meghan Trainor;NO;69
Dua Lipa;Hotter Than Hell;65
Martin Garrix;In the Name of Love;76
Alan Walker;Faded;78
Tove Lo;Cool Girl;0
DJ Snake;Let Me Love You;81
Calvin Harris;This Is What You Came For (feat. Rihanna);79
Mike Posner;I Took A Pill In Ibiza - Seeb Remix;77
Kevin Gates;2 Phones;69
Rihanna;Needed Me;80
Ariana Grande;Side To Side;0
Marshmello;Alone;71
Shawn Mendes;I Know What You Did Last Summer;73
Selena Gomez;Same Old Love;69
Calvin Harris;My Way;74
Fitz and The Tantrums;HandClap;64
Twenty One Pilots;Ride;80
Flo Rida;My House;76
Ariana Grande;Dangerous Woman;0
Anne-Marie;Alarm;57
Charlie Puth;We Don't Talk Anymore (feat. Selena Gomez);79
AlunaGeorge;I'm In Control;0
Enrique Iglesias;DUELE EL CORAZON (feat. Wisin);68
MNEK;Never Forget You;45
Mike Perry;The Ocean (feat. Shy Martin);70
Drake;Hotline Bling;0
Ariana Grande;Into You;3
Shawn Mendes;Treat You Better;82
Tory Lanez;Say It;73
Coldplay;Adventure of a Lifetime;76
Kungs;This Girl - Kungs Vs. Cookin' On 3 Burners;0
SAYGRACE;You Don't Own Me (feat. G-Eazy);69
X Ambassadors;Renegades;75
DNCE;Cake By The Ocean;79
99 Souls;The Girl Is Mine;55
Illy;Papercuts (feat. Vera Blue);51
Kiiara;Gold;55
Kygo;Stole the Show;0
Fifth Harmony;Work from Home (feat. Ty Dolla $ign);75
Drake;Pop Style;63
ZAYN;PILLOWTALK;59
Alessia Cara;Here;66
DJ Snake;Middle;0
Sigala;Sweet Lovin' - Radio Edit;46
Drake;Jumpman;72
Charlie Puth;Dangerously;62
Nick Jonas;Close;69
Jonas Blue;Perfect Strangers;0
Major Lazer;Cold Water (feat. Justin Bieber & MØ);0
The Chainsmokers;Roses;73
Tory Lanez;LUV;0
P!nk;"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")";68
Bryson Tiller;Don't;78
Steve Aoki;Just Hold On;63
Clean Bandit;Tears (feat. Louisa Johnson);60
Jonas Blue;Fast Car;1
Flume;Never Be Like You;0
Bastille;Good Grief;65
Sia;The Greatest (feat. Kendrick Lamar);68
PARTYNEXTDOOR;Not Nice;62
Garrett Nash;i hate u, i love u (feat. olivia o'brien);77
Hilltop Hoods;1955;63
Fifth Harmony;All In My Head (Flex) (feat. Fetty Wap);62
Daya;Sit Still, Look Pretty;1
Kent Jones;Don't Mind;63
Flume;Say It;53
Bryson Tiller;Exchange;76
MØ;Final Song;66
Beyoncé;Sorry;67
Little Mix;Shout Out to My Ex;1
The Lumineers;Ophelia;0
Frank Ocean;Pink + White;79
Drake;Too Good;74
Ed Sheeran;Shape of You;84
Sean Paul;No Lie;84
Luis Fonsi;Despacito (Featuring Daddy Yankee);0
Sam Smith;Too Good At Goodbyes;79
Clean Bandit;Rockabye (feat. Sean Paul & Anne-Marie);75
Camila Cabello;Havana (feat. Young Thug);1
Imagine Dragons;Thunder;1
Maroon 5;Don't Wanna Know (feat. Kendrick Lamar);68
The Chainsmokers;Something Just Like This;83
Ed Sheeran;Perfect;85
MGMT;Little Dark Age;81
Travis Scott;goosebumps;83
Billie Eilish;Bored;84
Future;Mask Off;79
G-Eazy;Him & I;0
Maroon 5;Cold (feat. Future);0
Rae Sremmurd;Swang;75
Lil Peep;Save That Shit;77
A$AP Ferg;Plain Jane;74
French Montana;Unforgettable;82
21 Savage;Bank Account;74
Axwell /\ Ingrosso;More Than You Know;0
ZAYN;Dusk Till Dawn (feat. Sia) - Radio Edit;77
J Balvin;Mi Gente;53
Jax Jones;You Don't Know Me - Radio Edit;1
Rae Sremmurd;Black Beatles;75
Zara Larsson;Ain't My Fault;67
Travis Scott;BUTTERFLY EFFECT;0
Ayo & Teo;Rolex;69
Lil Uzi Vert;XO Tour Llif3;81
Imagine Dragons;Whatever It Takes;80
Rob $tone;Chill Bill (feat. J. Davi$ & Spooks);76
Jason Derulo;Swalla (feat. Nicki Minaj & Ty Dolla $ign);75
G-Eazy;No Limit;0
Playboi Carti;Magnolia;77
Chord Overstreet;Hold On;80
Jax Jones;Breathe;58
Imagine Dragons;Believer;1
Natti Natasha;Criminal;74
Kendrick Lamar;HUMBLE.;0
Selena Gomez;Fetish (feat. Gucci Mane);69
Charlie Puth;Attention;0
Big Shaq;Man's Not Hot;62
Anne-Marie;Ciao Adios;57
Rag'n'Bone Man;Human;76
blackbear;do re mi;4
Lil Pump;Gucci Gang;64
Taylor Swift;Look What You Made Me Do;76
Enrique Iglesias;SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox);70
Kodak Black;Tunnel Vision;51
Kendrick Lamar;DNA.;0
A Boogie Wit da Hoodie;Drowning (feat. Kodak Black);0
XXXTENTACION;Jocelyn Flores;83
Migos;Bad and Boujee (feat. Lil Uzi Vert);72
Yo Gotti;Rake It Up (feat. Nicki Minaj);67
Martin Garrix;Scared to Be Lonely;77
Jonas Blue;Mama;51
Martin Jensen;Solo Dance;0
Taylor Swift;...Ready For It?;73
David Guetta;2U (feat. Justin Bieber);67
Migos;Slippery (feat. Gucci Mane);68
Shawn Mendes;There's Nothing Holdin' Me Back;0
G-Eazy;Good Life (with G-Eazy & Kehlani);63
The Vamps;All Night;73
Dua Lipa;New Rules;61
Cardi B;Bodak Yellow;59
Rag'n'Bone Man;Skin;67
Zara Larsson;I Would Like;57
DJ Khaled;Wild Thoughts (feat. Rihanna & Bryson Tiller);72
Post Malone;Congratulations;81
Avicii;Without You (feat. Sandro Cavazza);77
Clean Bandit;Symphony (feat. Zara Larsson);0
Katy Perry;Chained To The Rhythm;69
Zay Hilfigerrr;Juju on That Beat (TZ Anthem);57
Calvin Harris;Feels (feat. Pharrell Williams, Katy Perry & Big Sean);79
Migos;T-Shirt;64
OneRepublic;Rich Love (with Seeb);64
Maggie Lindemann;Pretty Girl - Cheat Codes X CADE Remix;61
Macklemore;Glorious (feat. Skylar Grey);74
Hayden James;NUMB;47
Liam Payne;Strip That Down;1
Drake;Passionfruit;0
Justin Bieber;Friends (with BloodPop®);0
ZAYN;"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""";0
Alessia Cara;Scars To Your Beautiful;76
2 Chainz;It's A Vibe;71
Starley;Call on Me - Ryan Riback Remix;48
AJR;Weak;0
Lana Del Rey;Lust for Life (with The Weeknd);0
CNCO;Reggaetón Lento (Remix);0
The Vamps;Middle Of The Night;61
The Weeknd;I Feel It Coming;78
The Chainsmokers;Paris;73
Big Sean;Bounce Back;71
Shawn Mendes;Mercy;0
Avicii;Lonely Together (feat. Rita Ora);53
Cheat Codes;No Promises (feat. Demi Lovato);68
Bruno Mars;24K Magic;78
Lorde;Homemade Dynamite - REMIX;8
Kygo;It Ain't Me (with Selena Gomez);75
Drake;God's Plan;81
Post Malone;rockstar (feat. 21 Savage);83
Offset;Ric Flair Drip (with Metro Boomin);80
G-Eazy;Him & I (with Halsey);75
Dynoro;In My Mind;78
Juice WRLD;Lucid Dreams;84
Zedd;The Middle;80
Marshmello;FRIENDS;78
Cardi B;I Like It;79
XXXTENTACION;Moonlight;82
Ariana Grande;no tears left to cry;77
Sheck Wes;Mo Bamba;77
Calvin Harris;One Kiss (with Dua Lipa);81
Tyga;Taste (feat. Offset);73
Travis Scott;SICKO MODE;81
Imagine Dragons;Natural;80
DJ Snake;Taki Taki (with Selena Gomez, Ozuna & Cardi B);76
Marshmello;Spotlight;71
The Weeknd;Pray For Me (with Kendrick Lamar);69
Billie Eilish;lovely (with Khalid);86
Migos;Walk It Talk It;75
Clean Bandit;Solo (feat. Demi Lovato);71
Drake;Nonstop;77
6ix9ine;FEFE;42
The Weeknd;Call Out My Name;80
Nio Garcia;Te Boté - Remix;76
Migos;MotorSport;72
Nicky Jam;X;74
XXXTENTACION;SAD!;82
Becky G;Sin Pijama;69
Machine Gun Kelly;Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha);71
6ix9ine;GUMMO;63
Jax Jones;Breathe;58
The Chainsmokers;Sick Boy;69
Jay Rock;King's Dead (with Kendrick Lamar, Future & James Blake);71
Rich The Kid;Plug Walk;72
Kendrick Lamar;All The Stars (with SZA);80
Logic;Everyday;69
Jason Derulo;Tip Toe (feat. French Montana);64
Ariana Grande;God is a woman;78
Rae Sremmurd;Powerglide (feat. Juicy J) - From SR3MM;66
EO;German;67
Dennis Lloyd;Nevermind;74
girl in red;we fell in love in october;82
Selena Gomez;Wolves;78
Tiësto;Jackie Chan;72
Tom Walker;Leave a Light On;70
Sofía Reyes;1, 2, 3 (feat. Jason Derulo & De La Ghetto);65
Marshmello;Silence;80
5 Seconds of Summer;Youngblood;69
Loud Luxury;Body (feat. brando);0
Liam Payne;For You (Fifty Shades Freed) (& Rita Ora);62
NF;Let You Down;79
XXXTENTACION;changes;79
Maluma;Corazón (feat. Nego do Borel);69
Cardi B;Bodak Yellow;72
Lil Baby;Yes Indeed;79
Jonas Blue;Rise;70
David Guetta;Flames;59
Ozuna;Vaina Loca;72
Charlie Puth;How Long;72
Post Malone;Better Now;80
BlocBoy JB;Look Alive (feat. Drake);73
Eminem;River (feat. Ed Sheeran);72
Marshmello;Happier;82
Dean Lewis;Be Alright;79
Charlie Puth;Done for Me (feat. Kehlani);67
Migos;Stir Fry;72
YG;BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj);68
Drake;In My Feelings;75
B Young;Jumanji;60
Charlie Puth;The Way I Am;64
Reik;Me Niego (feat. Ozuna & Wisin);1
benny blanco;Eastside (with Halsey & Khalid);75
Luis Fonsi;Échame La Culpa;62
MK;17;65
Rita Ora;Anywhere;63
Banx & Ranx;Answerphone (feat. Yxng Bane);56
Ella Mai;Trip;72
Daddy Yankee;Dura;71
DJ Khaled;No Brainer;67
Anne-Marie;2002;80
Bruno Mars;Finesse - Remix;
FINNEAS;Let's Fall in Love for the Night;71
Hugh Jackman;The Greatest Show;72
Halsey;Bad At Love;72
Drake;I'm Upset;68
Camila Cabello;Never Be the Same;74
M.O;Bad Vibe;54
Dua Lipa;IDGAF;78
Cashmere Cat;Miss You (with Major Lazer & Tory Lanez);56
Bazzi;Mine;75
Lil Dicky;Freaky Friday (feat. Chris Brown);70
Lauv;I Like Me Better;81
The Chainsmokers;This Feeling;73
Maroon 5;Girls Like You (feat. Cardi B) - Cardi B Version;73
Khalid;Love Lies (with Normani);73
Drake;Nice For What;77
Kendrick Lamar;LOVE. FEAT. ZACARI.;80
Post Malone;Psycho (feat. Ty Dolla $ign);77
Lil Nas X;Old Town Road - Remix;79
Billie Eilish;bad guy;83
Shawn Mendes;Señorita;78
Ariana Grande;7 rings;83
Post Malone;Sunflower - Spider-Man: Into the Spider-Verse;79
Gesaffelstein;Lost in the Fire (feat. The Weeknd);84
Halsey;Without Me;77
Regard;Ride It;81
Lady Gaga;Shallow;82
Mark Ronson;Nothing Breaks Like a Heart (feat. Miley Cyrus);79
Lewis Capaldi;Someone You Loved;84
Jax Jones;All Day And Night;60
Mustard;Pure Water (with Migos);75
NLE Choppa;Shotta Flow (feat. Blueface) [Remix];0
Kodak Black;ZEZE (feat. Travis Scott & Offset);77
Daddy Yankee;Con Calma;79
Alec Benjamin;Let Me Down Slowly;82
BLACKPINK;Kill This Love;1
Offset;Clout (feat. Cardi B);68
MEDUZA;Piece Of Your Heart;75
Ed Sheeran;Antisocial (with Travis Scott);63
Travis Scott;SICKO MODE;81
Mabel;Mad Love;0
Lana Del Rey;Doin' Time;80
DJ Snake;Taki Taki (feat. Selena Gomez, Ozuna & Cardi B);70
A Boogie Wit da Hoodie;Look Back at It;73
Saweetie;My Type;71
Lil Tecca;Ransom;78
Russ Millions;Keisha & Becky - Remix;69
Billie Eilish;lovely (with Khalid);86
Mabel;Don't Call Me Up;77
Lil Nas X;Old Town Road;76
Meek Mill;Going Bad (feat. Drake);78
Post Malone;Wow.;79
Doja Cat;Juicy;57
A Boogie Wit da Hoodie;Swervin (feat. 6ix9ine);75
iann dior;emotions;72
Paulo Londra;Adan y Eva;72
Drake;Money In The Grave (Drake ft. Rick Ross);76
Lil Nas X;Panini;71
Bad Bunny;MIA (feat. Drake);77
Polo G;Pop Out (feat. Lil Tjay);78
Juice WRLD;Robbery;53
21 Savage;a lot;78
Young Thug;The London (feat. J. Cole & Travis Scott);69
Anuel AA;China;76
Camila Cabello;Liar;65
Flipp Dinero;Leave Me Alone;69
Cardi B;Money;73
Ariana Grande;break up with your girlfriend, i'm bored;76
Dave;Location (feat. Burna Boy);78
Ava Max;Sweet but Psycho;7
Dua Lipa;Don't Start Now;79
Young T & Bugsey;Strike a Pose (feat. Aitch);61
Calvin Harris;Giant (with Rag'n'Bone Man);73
Ed Sheeran;Take Me Back to London (feat. Stormzy);66
Cardi B;Please Me;73
Stormzy;Vossi Bop;64
Tones And I;Dance Monkey;78
Ariana Grande;boyfriend (with Social House);77
Bad Bunny;Callaita;81
Ava Max;So Am I;4
Pedro Capó;Calma - Remix;74
J. Cole;MIDDLE CHILD;80
Lunay;Soltera - Remix;70
Khalid;Better;70
Blueface;Thotiana;1
DaBaby;Suge;72
AJ Tracey;Ladbroke Grove;69
Billie Eilish;bury a friend;75
BTS;Boy With Luv (feat. Halsey);35
Wiley;Boasty (feat. Idris Elba);64
Jonas Brothers;Only Human;71
5 Seconds of Summer;Easier;1
Avicii;SOS (feat. Aloe Blacc);71
Tyler; The Creator;2019
Ashley O;On A Roll;57
Dominic Fike;3 Nights;78
Sigala;Wish You Well;64
Megan Thee Stallion;Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign);69
Anuel AA;Secreto;75
Sam Feldt;Post Malone (feat. RANI);69
Kehlani;Nights Like This (feat. Ty Dolla $ign);74
Sech;Otro Trago;71
Post Malone;Better Now;80
Ed Sheeran;Cross Me (feat. Chance the Rapper & PnB Rock);64
Lauv;i'm so tired...;2
iann dior;gone girl;69
Panic! At The Disco;High Hopes;80
Marshmello;One Thing Right;73
Sam Smith;How Do You Sleep?;73
NSG;Options;57
Normani;Motivation;71
Joel Corry;Sorry;63
Post Malone;Goodbyes (Feat. Young Thug);1
Jonas Brothers;Sucker;79
Taylor Swift;Cruel Summer;78
Blanco Brown;The Git Up;69
Sam Smith;Dancing With A Stranger (with Normani);75
Post Malone;Circles;85
